Latitude,Longitude,TiO2_Percent,He3_ppb
8.181818181818173,20.0,13.966202447157798,48.52410416452425
6.36363636363636,20.0,13.517054370881567,47.00280646674333
4.545454545454547,20.0,13.37742442699956,46.52986953705617
10.0,27.272727272727252,13.368478513032985,46.499569065918166
10.0,20.0,13.305893933677297,46.28759047462652
11.818181818181813,20.0,13.270033162932574,46.166127396287415
0.9090909090909065,23.636363636363626,13.235395384674778,46.04880668380277
8.181818181818173,27.272727272727252,13.159210549366708,45.79076302140778
10.0,23.636363636363626,13.129456228245923,45.689982938822624
8.181818181818173,23.636363636363626,13.12744567767284,45.68317305557997
