Longitude,Latitude,He3_ppb
-180.0,-90.0,4.019778135513926
-176.36363636363637,-90.0,5.292242346316529
-172.72727272727272,-90.0,5.677267337263627
-169.0909090909091,-90.0,5.77186992629549
-165.45454545454547,-90.0,6.239155453933398
-161.8181818181818,-90.0,6.063520782953857
-158.1818181818182,-90.0,6.631695033782165
-154.54545454545456,-90.0,4.844165744378736
-150.9090909090909,-90.0,3.8395665276065367
-147.27272727272728,-90.0,4.0445960313441285
-143.63636363636363,-90.0,5.638312880519478
-140.0,-90.0,5.1421131546543135
-136.36363636363637,-90.0,5.003357505908517
-132.72727272727272,-90.0,6.150249094173222
-129.0909090909091,-90.0,5.575609655454883
-125.45454545454545,-90.0,5.183594542725015
-121.81818181818181,-90.0,6.198695257706783
-118.18181818181819,-90.0,8.414365590575272
-114.54545454545455,-90.0,7.278959952858465
-110.9090909090909,-90.0,6.8650749965612885
-107.27272727272728,-90.0,6.095976240841022
-103.63636363636364,-90.0,7.085764064327285
-100.0,-90.0,5.315772887029849
-96.36363636363636,-90.0,7.081696295693313
-92.72727272727273,-90.0,6.708917507204742
-89.0909090909091,-90.0,3.8814246818292415
-85.45454545454545,-90.0,7.326083807256426
-81.81818181818183,-90.0,6.880301153207558
-78.18181818181819,-90.0,7.227165610311666
-74.54545454545455,-90.0,7.215936067208121
-70.9090909090909,-90.0,6.572550357916688
-67.27272727272728,-90.0,4.844162926415935
-63.63636363636364,-90.0,5.345955144576596
-60.0,-90.0,7.395852653824473
-56.363636363636374,-90.0,6.68817564616457
-52.727272727272734,-90.0,7.046007492990825
-49.09090909090909,-90.0,6.1281260270069495
-45.45454545454547,-90.0,5.479443484860621
-41.81818181818181,-90.0,6.849243291355194
-38.18181818181819,-90.0,6.263993420774137
-34.54545454545456,-90.0,7.609196367806586
-30.909090909090907,-90.0,5.200228292833541
-27.27272727272728,-90.0,5.597204662340443
-23.636363636363654,-90.0,4.789765228328296
-20.0,-90.0,5.27700050245347
-16.363636363636374,-90.0,7.593897766690563
-12.72727272727272,-90.0,5.663984206224768
-9.090909090909093,-90.0,7.397521031873685
-5.4545454545454675,-90.0,6.178754654561147
-1.818181818181813,-90.0,6.0759988714509
1.818181818181813,-90.0,5.693649250219089
5.454545454545439,-90.0,6.498139796526757
9.090909090909093,-90.0,5.754903489390373
12.72727272727272,-90.0,7.558813650235209
16.363636363636346,-90.0,3.7816262635705837
20.0,-90.0,7.407920340318155
23.636363636363626,-90.0,4.131272359343178
27.272727272727252,-90.0,5.6833528469898384
30.909090909090907,-90.0,7.032984095660401
34.54545454545453,-90.0,5.8974009508558805
38.18181818181819,-90.0,5.073330956322338
41.81818181818181,-90.0,7.215187941628152
45.45454545454544,-90.0,6.060957207346145
49.09090909090909,-90.0,6.876669350761303
52.72727272727272,-90.0,3.301347879297338
56.363636363636346,-90.0,6.949885245259865
60.0,-90.0,6.641759355478434
63.636363636363626,-90.0,6.221179524921361
67.27272727272725,-90.0,4.93457393922374
70.9090909090909,-90.0,5.073950742125665
74.54545454545453,-90.0,6.060184949079927
78.18181818181819,-90.0,6.996982212775735
81.81818181818181,-90.0,7.5468078558043175
85.45454545454544,-90.0,5.8317079040990425
89.09090909090907,-90.0,7.360713056964451
92.72727272727269,-90.0,6.566826271298971
96.36363636363637,-90.0,7.60128268551883
100.0,-90.0,7.106224710530833
103.63636363636363,-90.0,6.15077155173755
107.27272727272725,-90.0,5.751684868415036
110.90909090909088,-90.0,5.833078470989749
114.54545454545456,-90.0,6.455090732050713
118.18181818181819,-90.0,8.552839849267977
121.81818181818181,-90.0,6.934195098830546
125.45454545454544,-90.0,7.266506718192019
129.09090909090907,-90.0,7.1476453508230255
132.7272727272727,-90.0,6.759887817638123
136.36363636363637,-90.0,6.364519571178605
140.0,-90.0,5.240232356302717
143.63636363636363,-90.0,4.548136341737059
147.27272727272725,-90.0,6.049496745208524
150.90909090909088,-90.0,6.374418088008995
154.54545454545456,-90.0,6.874450010719792
158.1818181818182,-90.0,7.215687221719845
161.8181818181818,-90.0,5.454485274050953
165.45454545454544,-90.0,8.277470800885165
169.09090909090907,-90.0,6.393937684899243
172.7272727272727,-90.0,6.278066218578426
176.36363636363637,-90.0,6.639069773015375
180.0,-90.0,6.992553907861822
-180.0,-88.18181818181819,6.650764481974164
-176.36363636363637,-88.18181818181819,8.117934259410104
-172.72727272727272,-88.18181818181819,6.59089771911653
-169.0909090909091,-88.18181818181819,6.607493448328894
-165.45454545454547,-88.18181818181819,7.8277320572580695
-161.8181818181818,-88.18181818181819,6.062522554737747
-158.1818181818182,-88.18181818181819,6.781137446667266
-154.54545454545456,-88.18181818181819,6.330991308070751
-150.9090909090909,-88.18181818181819,6.444948785357077
-147.27272727272728,-88.18181818181819,7.848618627920576
-143.63636363636363,-88.18181818181819,7.333963032598141
-140.0,-88.18181818181819,8.618460610635935
-136.36363636363637,-88.18181818181819,5.3654320456512785
-132.72727272727272,-88.18181818181819,6.3543890177956115
-129.0909090909091,-88.18181818181819,5.8314978596815585
-125.45454545454545,-88.18181818181819,6.435367907485322
-121.81818181818181,-88.18181818181819,6.263082630828228
-118.18181818181819,-88.18181818181819,6.2167217398752195
-114.54545454545455,-88.18181818181819,6.476842912702274
-110.9090909090909,-88.18181818181819,9.063113296480763
-107.27272727272728,-88.18181818181819,5.188136944487418
-103.63636363636364,-88.18181818181819,7.356691553486645
-100.0,-88.18181818181819,6.242925178935505
